# For alpha2code and region look at https://www.iso.org/obp/ui/#iso:pub:PUB500001:en
# ip_prefix,alpha2code,region,city,postal_code
91.239.38.0/23,DK,DK-82,Randers,8960
185.196.208.0/22,DK,,,
185.196.208.0/24,DK,,,
185.196.209.0/24,DK,,,
185.196.211.0/30,DK,,,
185.196.211.4/30,EE,,,
185.196.211.8/30,FI,,,
185.196.211.12/30,FR,,,
185.196.211.16/30,DE,DE-HB,Essen,49632
185.196.211.20/30,IT,,,
185.196.211.24/30,NL,,,
185.196.211.28/30,NO,,,
185.196.211.32/30,PL,,,
185.196.211.36/30,PT,,,
185.196.211.40/30,ES,,,
185.196.211.44/30,SE,,,
185.196.211.48/30,CH,,,
185.196.211.52/30,GB,,,
185.196.211.56/30,US,,,
185.196.211.60/30,BR,,,
185.196.211.64/30,ZA,,,
185.196.211.68/30,CN,,,
185.196.211.72/30,HK,,,
185.196.211.76/30,KR,,,
185.196.211.80/30,JP,,,
185.196.211.84/30,PH,,,
185.196.211.88/30,AE,,,
185.196.211.252/30,GB,,,
185.221.100.0/22,DK,,,
185.221.103.0/30,DK,,,
185.255.12.0/22,PL,,,
185.255.12.0/24,PL,,,
185.255.13.0/24,PL,,,
185.255.14.0/24,PL,,,
185.255.15.0/24,PL,,,
